Location,Class
DIU UT (2 DIST.S,Unclassified
DOBRA,Unclassified
DODDABALLAPUR,Unclassified
DOLAPURA,Unclassified
DOLLUNGMUKH,Unclassified
DOLVI,Unclassified
DOMBIVALI,Unclassified
DOMBIVLI,Unclassified
DONGARBORE,Unclassified
DONGARGAON,Unclassified
DONGRI,Unclassified
DOORIA,Unclassified
DORBA,Unclassified
DRONAGIRI NODE,Unclassified
DUGALI,Unclassified
DUMKA,Unclassified
DUMRI,Unclassified
DUNDI,Unclassified
DUNDIGAL,Unclassified
DUNGAR,Unclassified
DUNGARPUR,Unclassified
DUNGRI,Unclassified
DUNSANDLE,Unclassified
DURG,Unclassified
DURGAPUR,Unclassified
DWARKA,Unclassified
E-MARRIPALEM,Unclassified
EAST,Unclassified
EAST GODAVARI,Unclassified
EAST GODAVARI RURAL,Unclassified
EAST JAINTIA HILLS,Unclassified
EAST KHASI HILLS,Unclassified
EAST KUTCH,Unclassified
EAST MIDNAPORE,Unclassified
EAST SIANG,Unclassified
EAST SIKKIM,Unclassified
EAST SINGHBHUM,Unclassified
EAST SINGHBUM,Unclassified
EKLARI,Unclassified
ELAMKUNNAPUZHA,Unclassified
ELLAPURAM,Unclassified
ENNORE,Unclassified
ERNAKULAM,Unclassified
ERODE,Unclassified
ETAH,Unclassified
ETAWAH,Unclassified
ETTIMADAI,Unclassified
FAIZABAD,Unclassified
FALTA,Unclassified
FARAKKA,Unclassified
FARIDABAD,Unclassified
FARRUKHABAD,Unclassified
FATEHABAD,Unclassified
FATEHGARH SAHIB,Unclassified
FATEHPUR,Unclassified
FAZILKA,Unclassified
FEROZEPUR,Unclassified
FIROZABAD,Unclassified
G.K.,Unclassified
GADAG,Unclassified
GADCHIROLI,Unclassified
GADHSHISA,Unclassified
GAILPUR,Unclassified
GAJAPATI,Unclassified
GANDERBAL,Unclassified
GANDHIDHAM,Unclassified
GANDHINAGAR,Unclassified
GANESHPURI,Unclassified
GANGAKHED,Unclassified
GANGANAGAR,Unclassified
GANGTOK,Unclassified
GANJAM,Unclassified
GARGAON,Unclassified
GARHWA,Unclassified
GARIABAND,Unclassified
GAUHATI,Unclassified
