Symbol,Company,Activity,Sector,Schedule,Amount to be Spent as decided by Company (Rs.lacs),Actual Amount Spent (Rs.lacs),Direct-Agency Name/s,Direct-Amount (Rs.lacs),Implementing Agency Name/s,Implementing Agency-Amount (Rs.lacs),States (City/Town/District/Village)
AHLWEST,ASIAN HOTELS (WEST) LTD.,WELFARE OF THE PEOPLE BELONGING TO SCHEDULED CASTES AND OTHER BACKWARD COMMUNITIES.,,SCHEDULE VII (III),,2.5,,2.5,,,"DELHI (ISHWAR NAGAR,KASTURBA BALIKA VIDYALAYA)"
ASIANPAINT,ASIAN PAINTS LTD.,LIVELIHOOD ENHANCEMENT PROJECTS IN THE FORM OF BASIC AND SPECIALIZED PAINTER TRAINING PROGRAMME TO UNEMPLOYED YOUTH AND PAINTING APPLICATORS/CONTRACTORS,,SCHEDULE VII (II),800.0,589.0,,589.0,,,"CHANDIGARH,GUJARAT (AHMEDABAD),JAMMU & KASHMIR,KARNATAKA (BENGALURU),KERALA (KOZHIKODE),MADHYA PRADESH (BHOPAL,JABALPUR),MAHARASHTRA (AURANGABAD,MUMBAI,NAGPUR,PUNE),ODISHA (BHUBANESWAR),PUNJAB (LUDHIANA),RAJASTHAN (JAIPUR),TAMIL NADU (CHENNAI),TELANGANA (HYDERABAD),UTTAR PRADESH (AGRA,GHAZIABAD,GORAKHPUR,KANPUR,LUCKNOW,VARANASI),UTTARAKHAND (DEHRADUN),WEST BENGAL (BURDWAN,KOLKATA)"
ASIANPAINT,ASIAN PAINTS LTD.,"PROMOTING EDUCATION BY PROVIDING EDUCATIONAL MATERIALS, SETTING UP OF LIBRARIES, TOY LIBRARIES, SCHOLARSHIPS, COACHING CLASSES, COMPUTER HARDWARE AND SOFTWARE FOR SMART CLASSES, BUILDING INFRASTRUCTURE AT SCHOOLS, ORGANIZING WORKSHOPS FOR ENHANCING SKILLS, ETC.",,SCHEDULE VII (II),553.0,434.0,,217.0,,217.0,"GUJARAT (ANKLESHWAR,BHARUCH),HARYANA (ROHTAK),MAHARASHTRA (KHANDALA,MUMBAI,SATARA),TAMIL NADU (CUDDALORE,TIRUVALLUR),UTTAR PRADESH (GAUTAMBUDDHA NAGAR,KASNA)"
ASIANPAINT,ASIAN PAINTS LTD.,"PROMOTING HEALTHCARE AND SANITATION BY CONDUCTING PROJECTS AND PROGRAMS, MAKING AVAILABLE SAFE DRINKING WATER TO COMMUNITY, PREVENTIVE HEALTHCARE AND MEDICAL CAMPS, INFRASTRUCTURE SUPPORT FOR CANCER DIAGNOSIS, CALIBRATION OF HEALTHCARE EQUIPMENT AT HOSPITALS, CONSTRUCTION OF SANITARY FACILITIES VIZ., TOILETS, ETC.",,SCHEDULE VII (I),465.0,440.0,,220.0,,220.0,"GUJARAT (ANKLESHWAR,BHARUCH),HARYANA (ROHTAK),MAHARASHTRA (KHANDALA,SATARA),TAMIL NADU (TIRUVALLUR),TELANGANA (MEDAK,PATANCHERU),UTTAR PRADESH (GAUTAMBUDDHA NAGAR,KASNA)"
ASIANPAINT,ASIAN PAINTS LTD.,"ENSURING ENVIRONMENTAL SUSTAINABILITY THROUGH WATER RECHARGE & CONSERVATION PROJECTS, RAIN WATER HARVESTING, WATER - DESILTING AND RECLAMATION IN VILLAGES, INTEGRATED WATER RESOURCES MANAGEMENT IN COMMUNITY WATERSHED",WATER,SCHEDULE VII (IV),509.0,438.0,,219.0,,219.0,"GUJARAT (ANKLESHWAR,BHARUCH),HARYANA (ROHTAK),MAHARASHTRA (KHANDALA,SATARA),TAMIL NADU (CHENNAI,CUDDALORE),TELANGANA (MEDAK,PATANCHERU),UTTAR PRADESH (GAUTAMBUDDHA NAGAR,KASNA)"
ASTEC,ASTEC LIFESCIENCES LTD.,DONATION TO GRAM PANCHAYAT VILLAGE- BIRWADI FOR ANNUAL FESTIVAL,,SCHEDULE VII (X),0.25,0.25,,0.25,,,MAHARASHTRA (MAHAD INDUSTRIAL AREA)
ASTEC,ASTEC LIFESCIENCES LTD.,"DONATION TO JANVIKAS SOCIAL ORGANISATION EDUCATION, HEALTH, HYGIENE ACTIVITIES",,"SCHEDULE VII (I), SCHEDULE VII (II)",0.05,,,,,,MAHARASHTRA (MAHAD INDUSTRIAL AREA)
ASTEC,ASTEC LIFESCIENCES LTD.,"HELP AGE INDIA ELDER WELFARE, SENIOR CITIZEN",,SCHEDULE VII (III),0.1,0.1,,0.1,,,DELHI (NEW DELHI)
ASTEC,ASTEC LIFESCIENCES LTD.,HINDI BHASHA EKTA PARISHAD,,"SCHEDULE VII (II), SCHEDULE VII (V)",0.1,0.1,,0.1,,,MAHARASHTRA (THANE)
ASTEC,ASTEC LIFESCIENCES LTD.,KOHINOOR MITRA MANDAL CULTURAL ACTIVITIES,,SCHEDULE VII (V),0.07,,,,,,MAHARASHTRA (MAHAD INDUSTRIAL AREA)
ASTEC,ASTEC LIFESCIENCES LTD.,REFILLING OF FIRE EXTINGUISHER PRIMARY SCHOOL DIVOL TAL MAHAD,,SCHEDULE VII (II),0.05,,,,,,MAHARASHTRA (MAHAD INDUSTRIAL AREA)
ASTEC,ASTEC LIFESCIENCES LTD.,"SHREE DEVBAHERI DEVESTHAN, BIRWADI CULTURAL ACTIVITIES",,SCHEDULE VII (V),0.1,0.1,,0.1,,,MAHARASHTRA (MAHAD INDUSTRIAL AREA)
ASTEC,ASTEC LIFESCIENCES LTD.,THANE MAHESHWARI MANDAL EDUCATION,,SCHEDULE VII (II),0.31,0.31,,0.31,,,MAHARASHTRA (THANE)
ASTRAMICRO,ASTRA MICROWAVE PRODUCTS LTD.,"PROMOTING EDUCATION, CONTRIBUTION TO PMNRF",,"SCHEDULE VII (II), SCHEDULE VII (VIII)",134.22,108.17,,108.17,,,ANDHRA PRADESH (SRIKAKULAM)
ASTRAL,ASTRAL LTD.,"INFRASTRUCTURE DEVELOPMENT FOR CARRYING OUT ACTIVITIES LIKE YOGA, DAY CARE FOR SENIOR CITIZENS AND OTHER RELATED ACTIVITIES.",,SCHEDULE VII (III),500.0,160.0,ASTRAL CHARITABLE TRUST,160.0,,,GUJARAT (AHMEDABAD)
ATULAUTO,ATUL AUTO LTD.,BLOOD DONATION CAMPS PROMOTING HEALTH CARE,,SCHEDULE VII (I),4.0,1.62,,,,1.62,GUJARAT (RAJKOT)
ATULAUTO,ATUL AUTO LTD.,"ENSURING ENVIRONMENTAL SUSTAINABILITY THROUGH CONSERVATION OF RENEWABLE ENERGY, NATURAL RESOURCES ETC",,SCHEDULE VII (IV),10.0,9.21,,9.205,,,GUJARAT (SAURASHTRA)
ATULAUTO,ATUL AUTO LTD.,"PROMOTING EDUCATION BY PROVIDING EDUCATIONAL MATERIALS, SETTING UP OF LIBRARIES, TOY LIBRARIES, SCHOLARSHIPS, COACHING CLASSES, COMPUTER HARDWARE AND SOFTWARE FOR SMART CLASSES, BUILDING INFRASTRUCTURE AT SCHOOLS, ORGANIZING WORKSHOPS FOR ENHANCING SKILLS ETC",,SCHEDULE VII (II),15.0,14.25,,,,14.25,GUJARAT (SAURASHTRA)
ATULAUTO,ATUL AUTO LTD.,PROVIDING FINANCIAL ASSISTANCE TO HOSPITALS FOR SURGERY OF POOR PATIENTS PROMOTING HEALTH CARE,,SCHEDULE VII (I),1.0,0.1,,,,0.1,GUJARAT (AHMEDABAD)
ATULAUTO,ATUL AUTO LTD.,PROVIDING INFRASTRUCTURE SUPPORT FOR KIDNEY TRANSPLANTATION AND RESEARCH HOSPITAL PROMOTING HEALTH CARE,,SCHEDULE VII (I),35.0,25.0,,,,25.0,GUJARAT (AHMEDABAD)
ATULAUTO,ATUL AUTO LTD.,PROVIDING KIDNEY DIALYSIS MACHINE AT HOSPITAL PROMOTING HEALTH CARE,,SCHEDULE VII (I),5.9,5.9,,,,5.9,GUJARAT (JAMNAGAR)
ATUL,ATUL LTD.,CONSERVATION NISURGUNA BIOGAS PLANT,,SCHEDULE VII (IV),3.0,3.0,,,BRAHMA KUMARIS EDUCATIONAL SOCIETY,3.0,RAJASTHAN (MOUNT ABU)
ATUL,ATUL LTD.,DEVELOPMENT OF RURAL AREAS EDUCATION EMPOWERMENT HEALTH INFRASTRUCTURE,,SCHEDULE VII (X),64.0,64.0,ARDF,64.0,,,"GUJARAT (TWENTY THREE VILLAGES, VALSAD)"
ATUL,ATUL LTD.,ENHANCEMENT OF EDUCATION PRACTICES IN KALYANI SHALA,,SCHEDULE VII (II),50.0,50.0,ATUL KELAVANI MANDAL,50.0,,,GUJARAT (ATUL VALSAD)
ATUL,ATUL LTD.,HYGIENE IMPROVEMENT THROUGH SANITATION,,SCHEDULE VII (I),10.0,10.0,ARDF,10.0,,,GUJARAT (SIX VILLAGES IN VALSAD)
ATUL,ATUL LTD.,INFRASTRUCTURE CREMATION FACILITIES,,SCHEDULE VII (X),5.0,5.0,ARDF,5.0,,,GUJARAT (ATUL VALSAD)
ATUL,ATUL LTD.,MEDICAL SERVICES THROUGH ATUL MEDICAL DIAGNOSTIC CENTRE,,SCHEDULE VII (I),229.0,229.0,ARDF,229.0,,,GUJARAT (ATUL VALSAD)
ATUL,ATUL LTD.,PROMOTING SPORTS,,SCHEDULE VII (VII),1.0,1.0,ARDF,1.0,,,"GUJARAT (VALSAD),MAHARASHTRA (MUMBAI)"
ATUL,ATUL LTD.,PROMOTION OF EDUCATION IN ASHRAMSHALAS,,SCHEDULE VII (II),3.0,3.0,,,SHREE VALLABH SEVA KENDRA,3.0,"GUJARAT (BALDA, VALSAD)"
ATUL,ATUL LTD.,SKILL DEVELOPMENT (ATUL INSTITUTE OF VOCATIONAL EXCELLENCE),,SCHEDULE VII (II),21.0,21.0,ARDF,21.0,,,GUJARAT (DHARAMPUR VALSAD)
AURIONPRO,AURIONPRO SOLUTIONS LTD.,"DISTRIBUTING BOOKS, EDUCATIONAL MATERIAL, CONDUCTING SEMINAR FOR EDUCATION PURPOSE, ARRANGEMENT OF FOOD FOR NEEDY CHILDREN AND OTHER VARIOUS DEVELOPMENT ACTIVITIES FOR BENEFIT OF CHILDREN. PREVENTIVE HEALTH & SANITATION",,"SCHEDULE VII (I), SCHEDULE VII (II)",75.0,75.0,,,"JAYAWANTI BABU FOUNDATION,METROPOLITAN INSTITUTE OF TECHNOLOGY & MANAGEMENT TRUST",75.0,MAHARASHTRA (SINDHUDURG)
AUROPHARMA,AUROBINDO PHARMA LTD.,"AUROBINDO DISTRIBUTED FOOD ITEMS TO 7,000 FAMILIES IN 20 VILLAGES, 5,000 NUMBERS OF GOOD QUALITY BLANKETS IN 10 VILLAGES AFFECTED BY 'HUDHUD' CYCLONE, UNDER DISASTER RELIEF. AND AN ADDITIONAL RESERVE FUND TO BE SPENT FOR CYCLONE AFFECTED VILLAGES IN SRIKAKULAM, VIZIANAGARAM AND VISHAKAPATNAM DISTRICTS OF ANDHRA PRADESH, DONATION TO CHIEF MINISTER RELIEF FUND - HUDHUD DISASTER; CONSTRUCTION OF CENTRALIZED KITCHEN, 2 FOOD DISTRIBUTION VEHICLES UNDER BHOJAN MITRA (FEEDING OF FOOD AT GOVERNMENT HOSPITALS), ALL IN ANDHRA PRADESH & TELANGANA. ERADICATING HUNGER, POVERTY & MALNUTRITION AND PREVENTIVE HEALTH CARE.",,"SCHEDULE VII (I), SCHEDULE VII (VIII)",207.52,207.52,,103.761,HARE KRISHNA MOVEMENT CHARITABLE FOUNDATION,103.761,"ANDHRA PRADESH (PYDIBHIMAVARAM, VILLAGE RANASTHALAM MANDAL, SRIKAKULAM,SRIKAKULAM, VIZIANAGARAM & VISAKHAPATNAM),TELANGANA (KYASARAM, CHITKUL, BOLLARAM, VILLAGES OF PATANCHERU MANDAL, VILLAGE BORAPATLA OF HATNOORA MANDAL, VILLAGE KOWDIPALLY, NARSAPUR TOWN OF NARSAPUR MANDAL, MEDAK DIST.)"
AUROPHARMA,AUROBINDO PHARMA LTD.,"AUROBINDO HAS DONATED AMOUNT FOR 'MISSION KAKATIYA' WHICH IS MEANT FOR ENVIRONMENTAL SUSTAINABILITY, WATER MANAGEMENT & ECOLOGICAL BALANCE.",,SCHEDULE VII (IV),25.0,25.0,,25.0,,,TELANGANA (HYDERABAD)
AUROPHARMA,AUROBINDO PHARMA LTD.,"AUROBINDO SET UP WATER PURIFICATION PROJECT (RO) WATER PLANTS WITH ATW CARDS AND COIN SYSTEM, BOREWELL, SINTEX TANKS WITH PIPELINES, 3 PHASE MOTORS, RO WATER PLANTS",,SCHEDULE VII (I),163.44,163.44,,81.718,,81.718,"ANDHRA PRADESH (VILLAGE SRIKAKULAM, VIJAYANAGARAM DIST.),TELANGANA (MACHARAM, UDANPU, JEDCHERLA MANDAL, MAHABUBNAGAR,PATANCHERU, MANDAL,SSIDDIPET MEDAK DIST.)"
AUROPHARMA,AUROBINDO PHARMA LTD.,CONDUCTED RURAL INTER DISTRICT LEVEL SPORTS TOURNAMENTS.,,SCHEDULE VII (VII),0.5,0.5,,0.5,,,"TELANGANA (ESWARAPURAM, VILLAGE GUNDLAMACHNOOR, HATNOORA, MANDAL MEDAK DIST.)"
AUROPHARMA,AUROBINDO PHARMA LTD.,"CONTRIBUTION TOWARDS OLD AGE HOME EXPANSION, (MAHARISHI VANAPRASTHASHRAM), IS LOCATED AT NANDIGAMA VILLAGE, PATANCHERU MANDAL, MEDAK DISTRICT, TELANGANA.",,SCHEDULE VII (III),7.0,7.0,,7.0,,,"TELANGANA (VILLAGE NANDIGAMA, PATANCHERU, MANDAL MEDAK DIST.)"
AUROPHARMA,AUROBINDO PHARMA LTD.,LAYING & WIDENING OF VILLAGE ROADS AND CONSTRUCTION OF VILLAGE SEWAGE WATER DRAINAGE SYSTEM IN SEVERAL VILLAGES FOR THE RURAL DEVELOPMENT,,"SCHEDULE VII (I), SCHEDULE VII (X)",60.1,60.1,,60.102,,,"ANDHRA PRADESH (PYDIBHIMAVARAM, VILLAGE SARAGADAPETA, RANASTHALAM MANDAL, SRIKAKULAM DIST.),TELANGANA (BORAPATLA, GUNDLAMACHNOOR, VILLAGES HATNOORA, MANDAL MEDAK DIST.)"
AUROPHARMA,AUROBINDO PHARMA LTD.,"ORGANIZED MEDICAL CAMP & BLOOD DONATION CAMP, DONATION TO L V PRASAD EYE INSTITUTE ETC., AND BREATH ALCOHOL ANALYZERS TO RTA OFFICE, PAYING PUBLIC HEALTH MAINTENANCE EXPENSES OF PYDIBHIMAVARAM GRAM PANCHAYAT, PURCHASE OF FIRE TENDERS, CONSTRUCTION OF FIRE STATION.",,SCHEDULE VII (I),204.66,204.66,,102.332,JAN SEVA SANGH,102.332,"ANDHRA PRADESH (VILLAGE VARISAM, SRIKAKULAM DIST.,VISAKHAPATNAM, SRIKAKULAM DIST.),TELANGANA (GUNDLAMACHNOOR, HATNOORA MANDAL, MEDAK DIST.,PARSIGUTTA, HYDERABAD)"
AUROPHARMA,AUROBINDO PHARMA LTD.,"VIDYA VOLUNTEERS SALARIES, CONSTRUCTION OF TOILETS IN SCHOOL UNDER SWATCH BHARAT, REPAIRING OF SCHOOLS, RENOVATION OF GOVERNMENT HIGH SCHOOL, PURCHASE OF COMPUTERS AND UNIFORMS TO HEARING IMPAIRED CHILDREN, CONSTRUCTION OF GOVERNMENT DEGREE COLLEGE (PATANCHERU).",,SCHEDULE VII (II),123.21,123.21,,123.213,,,"ANDHRA PRADESH (PYDIBHIMAVARAM, SRIKAKULAM DIST.),TELANGANA (PATANCHERU, HATNOORA MANDAL, MEDAK DIST.,PUNJAGUTTA, HYDERABAD,RAMACHANDRAPURAM, PATANCHERU, MANDAL MEDAK DIST.,RANGA REDDY DIST. & MAHABUBNAGAR DIST.)"
AVTNPL,AVT NATURAL PRODUCTS LTD.,AUGMENTING COMPUTER LAB IN GOVERNMENT SCHOOL DEVELOPMENT OF RURAL EDUCATION INFRASTRUCTURE,,"SCHEDULE VII (II), SCHEDULE VII (X)",1.4,0.75,,0.749,,,KERALA (VAZHAKULAM)
AVTNPL,AVT NATURAL PRODUCTS LTD.,BUILDING MINI-WATER TANKS IN THE VILLAGES DEVELOPMENT OF RURAL INFRASTRUCTURE,,"SCHEDULE VII (I), SCHEDULE VII (X)",2.3,1.44,,1.44,,,TRIPURA
AVTNPL,AVT NATURAL PRODUCTS LTD.,CASH PRIZE FOR SSLC TOPPER IN SOUTH EZHIPURRAM GOVERNMENT SCHOOL PROMOTION OF EDUCATION,,SCHEDULE VII (II),,,,,,,KERALA (VAZHAKULAM)
AVTNPL,AVT NATURAL PRODUCTS LTD.,"CLEANING, MAINTENANCE AND IMPROVEMENTS OF THE PUBLIC WELLS IN VAZHAKULAM PANCHAYAT DEVELOPMENT OF RURAL INFRASTRUCTURE",,SCHEDULE VII (X),6.0,3.55,,3.55,,,KERALA (VAZHAKULAM)
AVTNPL,AVT NATURAL PRODUCTS LTD.,CONSTRUCTION OF HIGH-MAST LIGHT DEVELOPMENT OF RURAL INFRASTRUCTURE,,SCHEDULE VII (X),5.5,3.09,,3.089,,,KERALA (VAZHAKULAM)
AVTNPL,AVT NATURAL PRODUCTS LTD.,DONATION OF A LAPTOP TO ERNAKULAM RED CROSS SOCIETY,,SCHEDULE VII (III),,0.34,,0.345,,,KERALA (ERNAKULAM)
AVTNPL,AVT NATURAL PRODUCTS LTD.,FINANCIAL SUPPORT TO PULSE POLIO PROGRAMME,,SCHEDULE VII (I),,,,,,,KERALA (VAZHAKULAM)
AVTNPL,AVT NATURAL PRODUCTS LTD.,PROVIDING EMBROIDERY UNIT TO KUDUMBHASHREE UNIT EMPOWERMENT OF WOMEN,,SCHEDULE VII (III),1.0,0.12,,0.123,,,KERALA (VAZHAKULAM)
AVTNPL,AVT NATURAL PRODUCTS LTD.,RENOVATION OF AGANWADI BLOCK DEVELOPMENT OF RURAL EDUCATION INFRASTRUCTURE,,SCHEDULE VII (II),,0.45,,0.453,,,KERALA (VAZHAKULAM)
AVTNPL,AVT NATURAL PRODUCTS LTD.,RENOVATION OF TOILETS IN GOVERNMENT SCHOOLS DEVELOPMENT OF RURAL EDUCATION INFRASTRUCTURE,,"SCHEDULE VII (I), SCHEDULE VII (II)",5.3,4.78,,4.78,,,KERALA (VAZHAKULAM)
AVTNPL,AVT NATURAL PRODUCTS LTD.,WATER CANAL CLEANING DEVELOPMENT OF RURAL INFRASTRUCTURE,,SCHEDULE VII (X),,0.3,,0.3,,,KERALA (VAZHAKULAM)
AXISBANK,AXIS BANK LTD.,CLEANLINESS AND SANITATION PROGRAM: CLEANLINESS AND SANITATION DRIVES TO PROMOTE THE SWACHH BHARAT MISSION IN RURAL AREAS WHERE BANK HAS PRESENCE.,,"SCHEDULE VII (I), SCHEDULE VII (X)",6.0,6.0,,6.0,,,"ANDHRA PRADESH,ARUNACHAL PRADESH,ASSAM,BIHAR,CHHATTISGARH,DELHI,GUJARAT,KARNATAKA,KERALA,MADHYA PRADESH,MAHARASHTRA,MANIPUR,MEGHALAYA,MIZORAM,NAGALAND,ODISHA,PUNJAB,RAJASTHAN,SIKKIM,TAMIL NADU,TELANGANA,TRIPURA,UTTAR PRADESH,UTTARAKHAND,WEST BENGAL"
AXISBANK,AXIS BANK LTD.,"CONTRIBUTION TO AXIS BANK FOUNDATION TOWARDS UNDERTAKING CSR ACTIVITIES AS PER THE FOCUS AREAS AND PROGRAMS AREAS LISTED IN AXIS BANKS POLICY FOR CORPORATE SOCIAL RESPONSIBILITY. EDUCATION (PRIMARY, SECONDARY, SUPPLEMENTARY, SPECIAL, VOCATIONAL), LIVELIHOOD ENHANCEMENT, VOCATIONAL SKILLS TRAINING, CONSERVATION OF NATURAL RESOURCES AND RURAL DEVELOPMENT, HEALTHCARE (INCLUDING PREVENTIVE HEALTHCARE)",,"SCHEDULE VII (I), SCHEDULE VII (II), SCHEDULE VII (IV), SCHEDULE VII (X)",6218.0,6218.0,AXIS BANK FOUNDATION,6218.0,,,"ANDHRA PRADESH,ARUNACHAL PRADESH,ASSAM,BIHAR,CHHATTISGARH,DELHI,GUJARAT,KARNATAKA,KERALA,MADHYA PRADESH,MAHARASHTRA,MANIPUR,MEGHALAYA,MIZORAM,NAGALAND,ODISHA,PUNJAB,RAJASTHAN,SIKKIM,TAMIL NADU,TELANGANA,TRIPURA,UTTAR PRADESH,UTTARAKHAND,WEST BENGAL"
AXISBANK,AXIS BANK LTD.,ENVIRONMENTAL SUSTAINABILITY PROGRAM: A. REDUCTION OF GHG EMISSIONS THROUGH USE OF RENEWABLE ENERGY AND OPTIMISING ENERGY EFFICIENCY B. PROMOTING ECOLOGICAL BALANCE AND NATURAL RESOURCE CONSERVATION THROUGH TREEPLANTATION,,SCHEDULE VII (IV),575.0,575.0,,575.0,,,"ANDHRA PRADESH,ARUNACHAL PRADESH,ASSAM,BIHAR,CHHATTISGARH,DELHI,GUJARAT,KARNATAKA,KERALA,MADHYA PRADESH,MAHARASHTRA,MANIPUR,MEGHALAYA,MIZORAM,NAGALAND,ODISHA,PUNJAB,RAJASTHAN,SIKKIM,TAMIL NADU,TELANGANA,TRIPURA,UTTAR PRADESH,UTTARAKHAND,WEST BENGAL"
AXISBANK,AXIS BANK LTD.,"FINANCIAL LITERACY AND INCLUSION PROGRAM: FINANCIAL LITERACY INITIATIVES TO CREATE AWARENESS AND EDUCATE VARIOUS SECTIONS OF SOCIETY, ESPECIALLY THOSE WHICH DO NOT HAVE ACCESS TO BANKING SYSTEM, ON PERSONAL FINANCIAL MANAGEMENT AND PROVIDE THEM ACCESS THROUGH FINANCIAL INCLUSION INITIATIVES. REDUCING INEQUALITIES FACED BY SOCIALLY AND ECONOMICALLY BACKWARD GROUPS, RURAL DEVELOPMENT",,"SCHEDULE VII (II), SCHEDULE VII (III), SCHEDULE VII (X)",5232.0,5232.0,,2616.0,,2616.0,"ANDAMAN & NICOBAR ISLANDS,ANDHRA PRADESH,ARUNACHAL PRADESH,ASSAM,BIHAR,CHHATTISGARH,DELHI,GUJARAT,HARYANA,HIMACHAL PRADESH,JAMMU & KASHMIR,KARNATAKA,KERALA,MADHYA PRADESH,MAHARASHTRA,MANIPUR,MEGHALAYA,MIZORAM,NAGALAND,ODISHA,PUDUCHERRY,PUNJAB,RAJASTHAN,SIKKIM,TAMIL NADU,TELANGANA,TRIPURA,UTTAR PRADESH,UTTARAKHAND,WEST BENGAL"
AXISBANK,AXIS BANK LTD.,MSME SECTOR BUILDING PROGRAM: CONTRIBUTE TO MSME SECTOR CAPABILITIES ENHANCEMENT THROUGH KNOWLEDGE BASED SKILLS DEVELOPMENT. EDUCATION,,SCHEDULE VII (II),109.0,109.0,,109.0,,,"ANDHRA PRADESH,ARUNACHAL PRADESH,ASSAM,BIHAR,CHHATTISGARH,DELHI,GUJARAT,KARNATAKA,KERALA,MADHYA PRADESH,MAHARASHTRA,MANIPUR,MEGHALAYA,MIZORAM,NAGALAND,ODISHA,PUNJAB,RAJASTHAN,SIKKIM,TAMIL NADU,TELANGANA,TRIPURA,UTTAR PRADESH,UTTARAKHAND,WEST BENGAL"
AXISCADES,AXISCADES TECHNOLOGIES LTD.,ORGANIZE AND CONDUCT 5 DREAM FUN DAYS EMPLOYEE PARTICIPATION IN AFTER SCHOOL LIFE SKILLS PROGRAMMES: MENTORING CAREER GUIDANCE WORKSHOPS LIFE SKILLS THROUGH CREATIVE ARTS (SESSIONS) DREAM OUTDOOR EXPERIENTIAL CAMP EDUCATION AND EMPLOYMENT ENHANCING VOCATIONAL SKILLS,,SCHEDULE VII (II),12.0,12.0,,,DREAM A DREAM,12.0,KARNATAKA (BENGALURU)
AXISCADES,AXISCADES TECHNOLOGIES LTD.,TEACHING AND MENTORING A CHILD CAREER GUIDANCE AND COACHING EDUCATION AND EMPLOYMENT ENHANCING VOCATIONAL SKILLS,,SCHEDULE VII (II),7.37,7.37,,,MAKE A DIFFERENCE FOUNDATION,7.37,"TAMIL NADU (CHENNAI),TELANGANA (HYDERABAD)"
BAJAJ-AUTO,BAJAJ AUTO LTD.,"A 100 BEDDED NEW HOSPITAL AT HINJEWADI, PUNE HEALTHCARE",,SCHEDULE VII (I),300.0,300.0,,,RUBY HALL CLINIC,300.0,MAHARASHTRA (PUNE)
BAJAJ-AUTO,BAJAJ AUTO LTD.,AIDS UNDERPRIVILEGED CHILDREN & WOMEN IN GOA WITH ARTS & LIFE SKILLS EMPLOYMENT ENHANCING SKILLS FOR CHILDREN & WOMEN,,SCHEDULE VII (II),10.0,10.0,,,TARA TRUST INDIA,10.0,GOA
BAJAJ-AUTO,BAJAJ AUTO LTD.,AMBULANCE FOR UNDER- PRIVILEGED PEOPLE PREVENTIVE HEALTH CARE,,SCHEDULE VII (I),5.0,5.0,,,RED SWASTIK SOCIETY,5.0,MAHARASHTRA (AURANGABAD)
BAJAJ-AUTO,BAJAJ AUTO LTD.,BUILDINGS/HOSTELS/FURNITURE ETC. FOR ARMED FORCES VETERANS MEASURES FOR BENEFIT OF ARMED FORCES VETERANS,,"SCHEDULE VII (I), SCHEDULE VII (VI)",10.0,10.0,,,QUEEN MARYS TECHNICAL INSTITUTE,10.0,MAHARASHTRA (PUNE)
BAJAJ-AUTO,BAJAJ AUTO LTD.,CONSTRUCTION OF QUARTERS FOR VOLUNTEERS WORKING FOR TRIBALS REDUCING SOCIAL INEQUALITIES,,SCHEDULE VII (III),50.0,10.0,,,LOKBIRADARI PRAKALP,10.0,MAHARASHTRA (GADCHIROLI)
BAJAJ-AUTO,BAJAJ AUTO LTD.,CONTROL THE POPULATION OF STRAY DOGS AND STERILIZATION OF STRAY DOGS ANIMAL WELFARE,,SCHEDULE VII (IV),8.0,8.0,,,"CANINE, PUNE",8.0,MAHARASHTRA (PUNE)
BAJAJ-AUTO,BAJAJ AUTO LTD.,EVENING STUDY CLASSES FOR 300 POOR CHILDREN EDUCATION,,SCHEDULE VII (II),4.0,4.0,,,ST.DOMINIC SAVIO BOYS HOME,4.0,MAHARASHTRA (MUMBAI)
BAJAJ-AUTO,BAJAJ AUTO LTD.,"FOREST AND WILDLIFE CONSERVATION, TRAINING, LIVELIHOOD, ETC. ANIMAL WELFARE",,SCHEDULE VII (IV),10.0,10.0,,,WILDLIFE CONSERVATION TRUST,10.0,MAHARASHTRA (MUMBAI)
BAJAJ-AUTO,BAJAJ AUTO LTD.,FOSTERING ENTREPRENEURSHIP AND CREATING JOBS FOR THE VULNERABLE YOUTH. EMPLOYMENT ENHANCING VOCATION SKILLS & LIVELIHOOD ENHANCEMENT PROJECTS,,SCHEDULE VII (II),600.0,25.0,,,BHARATIYA YUVA SHAKTI TRUST,25.0,TELANGANA (HYDERABAD)
BAJAJ-AUTO,BAJAJ AUTO LTD.,HEALTH CARE TO AIDS PATIENTS,,SCHEDULE VII (I),22.17,22.17,BAJAJ YCMH ART CENTRE,11.085,,11.085,MAHARASHTRA (PUNE)
BAJAJ-AUTO,BAJAJ AUTO LTD.,"HEALTH, ENVIRONMENTAL SUSTAINABILITY & VOCATIONAL TRAINING HEALTH CARE ENVIRONMENTAL VOCATIONAL TRAINING",,"SCHEDULE VII (I), SCHEDULE VII (II), SCHEDULE VII (IV)",20.0,20.0,,,"CORBETT FOUNDATION,THE",20.0,MAHARASHTRA (MUMBAI)
BAJAJ-AUTO,BAJAJ AUTO LTD.,IMPROVING QUALITY OF EDUCATION IN ZP SCHOOLS IN WARDHA BY TRAINING TEACHERS AND SUPPLYING EDUCATION MATERIAL. EDUCATION,,SCHEDULE VII (II),9.7,9.7,,,NAYI TALIM SAMITI,9.7,MAHARASHTRA (WARDHA)
BAJAJ-AUTO,BAJAJ AUTO LTD.,NAGPUR UNIVERSITY BUILDING AN ADMINISTRATIVE BLDG EDUCATION,,SCHEDULE VII (II),1000.0,50.0,,25.0,RTM NAGPUR UNIVERSITY,25.0,MAHARASHTRA (NAGPUR)
