Symbol,Company,Activity,Sector,Schedule,Amount to be Spent as decided by Company (Rs.lacs),Actual Amount Spent (Rs.lacs),Direct-Agency Name/s,Direct-Amount (Rs.lacs),Implementing Agency Name/s,Implementing Agency-Amount (Rs.lacs),States (City/Town/District/Village)
HINDALCO,HINDALCO INDUSTRIES LTD.,NON FARM & SKILLS BASED INCOME GENERATION PROGRAM: CAPACITY BUILDING PROGRAMMES; RURAL ENTERPRISE DEVELOPMENT AND INCOME GENERATION PROGRAMME (IGP) SUPPORT; SUPPORT TO SHGS FOR IGP ENVIRONMENT AND SUSTAINABLE LIVELIHOOD,,"SCHEDULE VII (II), SCHEDULE VII (IV), SCHEDULE VII (X)",60.0,57.11,,57.11,,,"GUJARAT (BHARUCH),JHARKHAND (GUMLA,LATEHAR,LOHARGADA,RANCHI),KARNATAKA (BELAGAVI),KERALA (ERNAKULAM),MADHYA PRADESH (SINGRAULI),MAHARASHTRA (KOLHAPUR,RAIGAD),ODISHA (SAMBHALPUR),UTTAR PRADESH (BALRAMPUR,SONBHADRA),WEST BENGAL (HOWRAH)"
HINDALCO,HINDALCO INDUSTRIES LTD.,PRESCHOOL EDUCATION BALWADIES / PLAY SCHOOLS / CRECHES; STRENGTHENING ANGANWADIS,,SCHEDULE VII (II),7.0,8.45,,8.45,,,"JHARKHAND (GUMLA,LATEHAR,LOHARDAGA),KARNATAKA (BELAGAVI),MADHYA PRADESH (SINGRAULI),UTTAR PRADESH (BALRAMPUR,SONBHADRA),WEST BENGAL (HOWRAH)"
HINDALCO,HINDALCO INDUSTRIES LTD.,PREVENTIVE HEALTH CARE : IMMUNIZATION; PULSE POLIO PROGRAMME; HEALTH CHECK UP CAMPS; MOBILE DISPENSARY; MALARIA/DIARRHOEA CONTROL PROGRAMME; SCHOOL HEALTH CHECK UPS; YOGA AND FITNESS CLASSES,,SCHEDULE VII (I),90.0,91.52,,91.52,,,"GUJARAT (BHARUCH),JHARKHAND (GUMLA,LATEHAR,LOHARGADA,RANCHI),KARNATAKA (BELAGAVI),KERALA (ERNAKULAM),MADHYA PRADESH (SINGRAULI),MAHARASHTRA (KOLHAPUR,RAIGAD),ODISHA (SAMBHALPUR),UTTAR PRADESH (BALRAMPUR,SONBHADRA),WEST BENGAL (HOWRAH)"
HINDALCO,HINDALCO INDUSTRIES LTD.,"PROMOTION OF HERITAGE/CULTURE/ SPORTS: SUPPORT TO RURAL CULTURAL PROGRAMMES, FESTIVALS & MELAS PROMOTION OF HERITAGE/ART AND CULTURE",,"SCHEDULE VII (V), SCHEDULE VII (VII)",90.0,99.12,,99.12,,,"GUJARAT (BHARUCH),KARNATAKA (BELAGAVI),KERALA (ERNAKULAM),MAHARASHTRA (KOLHAPUR)"
HINDALCO,HINDALCO INDUSTRIES LTD.,"QUALITY/SUPPORT PROGRAM: REFERRAL SERVICES; TREATMENT OF BPL, OLD AGE AND NEEDY PATIENTS; HIV-AIDS AWARENESS;RTI/STD AWARENESS; SUPPORT TO DIFFERENTLY ABLED; AMBULANCE SERVICES; BLOOD DONATIONS/GROUPING",,SCHEDULE VII (I),47.0,34.8,,34.8,,,"GUJARAT (BHARUCH),KARNATAKA (BELAGAVI),MADHYA PRADESH (SINGRAULI),ODISHA (SAMBHALPUR),UTTAR PRADESH (BALRAMPUR,SONBHADRA),WEST BENGAL (HOWRAH)"
HINDALCO,HINDALCO INDUSTRIES LTD.,REPRODUCTIVE AND CHILD HEALTH: MOTHER AND CHILD CARE; ADOLESCENT HEALTH CARE; INFANT AND CHILD HEALTH; SUPPORT TO FAMILY PLANNING PROGRAMMES; NUTRITIONAL PROGRAMMES FOR MOTHER AND CHILD,,SCHEDULE VII (I),55.0,55.66,,55.66,,,"GUJARAT (BHARUCH),JHARKHAND (LOHARGADA,RANCHI),KARNATAKA (BELAGAVI),ODISHA (SAMBHALPUR),UTTAR PRADESH (BALRAMPUR,SONBHADRA),WEST BENGAL (HOWRAH)"
HINDALCO,HINDALCO INDUSTRIES LTD.,RURAL INFRASTRUCTURE DEVELOPMENT: CONSTRUCTION AND REPAIR OF COMMUNITY INFRASTRUCTURES RURAL DEVELOPMENT PROJECTS,,SCHEDULE VII (X),350.0,364.34,,364.34,,,"GUJARAT (BHARUCH),JHARKHAND (LOHARGADA,RANCHI),KARNATAKA (BELAGAVI),KERALA (ERNAKULAM),MADHYA PRADESH (SINGRAULI),MAHARASHTRA (KOLHAPUR),ODISHA (SAMBHALPUR),UTTAR PRADESH (BALRAMPUR,SONBHADRA),WEST BENGAL (HOWRAH)"
HINDALCO,HINDALCO INDUSTRIES LTD.,"SCHOOL EDUCATION PROGRAM ENROLMENT AWARENESS PROGRAMMES / EVENTS; FORMAL SCHOOLS; EDUCATION MATERIAL(STUDY MATERIALS, UNIFORM, BOOKS ETC.); SCHOLARSHIP (MERIT AND NEED BASED ASSISTANCE) SCHOOL COMPETITIONS/BEST TEACHER AWARD; CULTURAL EVENTS QUALITY OF EDUCATION (SUPPORT TEACHERS, IMPROVE EDUCATION METHODS); SPECIALISED COACHING; EXPOSURE VISITS/AWARENESS FORMAL SCHOOLS INSIDE CAMPUS(COMPANY SCHOOLS) SUPPORT TO MIDDAY MEAL PROJECT",,SCHEDULE VII (II),1400.0,1249.58,,1249.58,,,"GUJARAT (BHARUCH),JHARKHAND (GUMLA,LATEHAR,LOHARDAGA,RANCHI),KARNATAKA (BELAGAVI),KERALA (ERNAKULAM),MADHYA PRADESH (SINGRAULI),ODISHA (SAMBALPUR),UTTAR PRADESH (BALRAMPUR,SONBHADRA),WEST BENGAL (HOWRAH)"
HINDALCO,HINDALCO INDUSTRIES LTD.,SCHOOL INFRASTRUCTURE : NEW SCHOOL BUILDING CONSTRUCTION; RENOVATION AND MAINTENANCE OF SCHOOL BUILDINGS; SCHOOL SANITATION & DRINKING WATER; SCHOOL FURNITURE & FIXTURES.,,"SCHEDULE VII (I), SCHEDULE VII (II)",100.0,80.92,,80.92,,,"KARNATAKA (BELAGAVI),MADHYA PRADESH (SINGRAULI),ODISHA (SAMBHALPUR),UTTAR PRADESH (BALRAMPUR,SONBHADRA),WEST BENGAL (HOWRAH)"
HINDALCO,HINDALCO INDUSTRIES LTD.,"SOCIAL EVENTS TO MINIMISE CAUSES OF POVERTY: SUPPORT TO MASS MARRIAGES, WIDOW REMARRIAGES; NATIONAL DAYS CELEBRATIONS; SUPPORT WITH BASIC AMENITIES SOCIAL EMPOWERMENT",,SCHEDULE VII (I),30.0,26.5,,26.5,,,"CHHATTISGARH (BALARAMPUR),GUJARAT (BHARUCH),JHARKHAND (LOHARGADA,RANCHI),KERALA (ERNAKULAM),MADHYA PRADESH (SINGRAULI),MAHARASHTRA (KOLHAPUR),ODISHA (SAMBALPUR)"
HINDALCO,HINDALCO INDUSTRIES LTD.,"SOCIAL SECURITY: SUPPORT TO OLD AGE, WIDOW, PHYSICALLY CHALLENGED PERSONS/ POOR. SOCIAL EMPOWERMENT",,SCHEDULE VII (III),7.0,7.77,,7.77,,,"JHARKHAND (LOHARGADA,RANCHI),MADHYA PRADESH (SINGRAULI),UTTAR PRADESH (SONBHADRA)"
HINDALCO,HINDALCO INDUSTRIES LTD.,SUPPORT TO DEVELOPMENT ORGANIZATIONS: SUPPORT TO OLD AGE HOMES; ORPHANAGES ETC. SOCIAL EMPOWERMENT,,SCHEDULE VII (III),35.0,31.83,,31.83,,,"GUJARAT (BHARUCH),JHARKHAND (LOHARGADA),KERALA (ERNAKULAM),MAHARASHTRA (RAIGAD),ODISHA (SAMBHALPUR),UTTAR PRADESH (SONBHADRA),WEST BENGAL (HOWRAH)"
HINDALCO,HINDALCO INDUSTRIES LTD.,VOCATIONAL AND TECHNICAL EDUCATION: STRENGTHENING ITI’S; SKILL BASED INDIVIDUAL TRAINING PROGRAMMES,,SCHEDULE VII (II),9.0,9.56,,9.56,,,"JHARKHAND (GUMLA,LATEHAR,LOHARDAGA,RANCHI),KARNATAKA (BELAGAVI),MADHYA PRADESH (SINGRAULI),MAHARASHTRA (KOLHAPUR),ODISHA (SAMBALPUR),UTTAR PRADESH (BALRAMPUR,SONBHADRA),WEST BENGAL (HOWRAH)"
HGS,HINDUJA GLOBAL SOLUTIONS LTD.,PREVENTIVE HEALTH CARE AND SANITATION,,SCHEDULE VII (I),60.0,60.0,,,NATIONAL HEALTH & EDUCATION SOCIETY,60.0,MAHARASHTRA (MUMBAI)
HGS,HINDUJA GLOBAL SOLUTIONS LTD.,PROMOTING EDUCATION,,SCHEDULE VII (II),5.5,5.5,,,ASHOK LEYLAND EDUCATIONAL TRUST,5.5,TAMIL NADU (HOSUR)
HGS,HINDUJA GLOBAL SOLUTIONS LTD.,PROMOTING EDUCATION,,SCHEDULE VII (II),14.0,14.0,HINDUJA FOUNDATION,7.0,,7.0,"ANDHRA PRADESH,KARNATAKA,KERALA,TELANGANA"
HGS,HINDUJA GLOBAL SOLUTIONS LTD.,PROMOTING EDUCATION AND LIVELIHOOD ENHANCEMENT OF DIFFERENTLY ABLED PEOPLE,,SCHEDULE VII (II),1.5,1.5,,,SAMARTHANAM TRUST FOR THE DISABLED,1.5,KARNATAKA (BENGALURU)
HGS,HINDUJA GLOBAL SOLUTIONS LTD.,PROMOTING EDUCATION AND LIVELIHOOD ENHANCEMENT OF DIFFERENTLY ABLED PEOPLE,,SCHEDULE VII (II),0.25,0.25,,,GURUKUL CENTRE FOR SPECIAL CHILDREN,0.25,KARNATAKA (BENGALURU)
HGS,HINDUJA GLOBAL SOLUTIONS LTD.,PROMOTING EDUCATION OF CHILDREN,,SCHEDULE VII (II),1.5,1.5,,,MAGIC BUS FOUNDATION,1.5,KARNATAKA (BENGALURU)
HGS,HINDUJA GLOBAL SOLUTIONS LTD.,PROMOTING EDUCATION OF CHILDREN,,SCHEDULE VII (II),1.5,1.5,,,BANGALORE CARES TRUST,1.5,KARNATAKA (BENGALURU)
HGS,HINDUJA GLOBAL SOLUTIONS LTD.,"PROMOTING EDUCATION, EMPLOYMENT ENHANCING VOCATION SKILLS AND LIVELIHOOD ENHANCEMENT PROJECTS",,SCHEDULE VII (II),90.0,90.0,,,MAGIC BUS FOUNDATION,90.0,"ANDHRA PRADESH (GUNTUR),KARNATAKA (MYSURU),WEST BENGAL (SILIGURI)"
HINDCOMPOS,HINDUSTAN COMPOSITES LTD.,CONSTRUCTION OF A BUILDING FOR EDUCATIONAL INSTITUTION,,SCHEDULE VII (II),40.0,40.0,,,ACHARYA MAHAPRAGYA MAHASHRAMAN EDUCATION & RESEARCH FOUNDATION,40.0,WEST BENGAL (KOLKATA)
HCC,HINDUSTAN CONSTRUCTION CO.LTD.,EDUCATION,,SCHEDULE VII (II),,11.38,,5.691,,5.691,ALL STATES
HCC,HINDUSTAN CONSTRUCTION CO.LTD.,HEALTH,,SCHEDULE VII (I),,4.06,,2.0315,,2.0315,ALL STATES
HCC,HINDUSTAN CONSTRUCTION CO.LTD.,RURAL DEVELOPMENT,,SCHEDULE VII (X),,4.81,,2.4045,,2.4045,ALL STATES
HINDCOPPER,HINDUSTAN COPPER LTD.,"DRINKING WATER, HEALTH & SANITATION ERADICATING HUNGER POVERTY AND MALNUTRITION, PROMOTING PREVENTIVE HEALTH CARE AND SANITATION AND MAKING AVAILABLE SAFE DRINKING WATER",,SCHEDULE VII (I),442.38,227.74,,113.87,"PARIVESH,GVT,IIWM",113.87,"JHARKHAND (PURVI SINGHBHUM DIST.),MADHYA PRADESH (BALAGHAT DIST.),RAJASTHAN (JHUNJHUNU DIST.)"
HINDCOPPER,HINDUSTAN COPPER LTD.,"EDUCATION, VOCATIONAL SKILL & LIVELIHOOD PROMOTING EDUCATION, INCLUDING SPECIAL EDUCATION AND EMPLOYMENT ENHANCING VOCATIONAL SKILLS ESPECIALLY AMONG CHILDREN, WOMEN AND ELDERLY AND THE DIFFERENTLY ABLED AND LIVELIHOOD ENHANCEMENT PROJECTS",,SCHEDULE VII (II),207.13,119.51,,,"PARIVESH,GVT",119.51,"JHARKHAND (PURVI SINGHBHUM DIST.),MADHYA PRADESH (BALAGHAT DIST.),RAJASTHAN (JHUNJHUNU DIST.)"
HINDCOPPER,HINDUSTAN COPPER LTD.,"ENVIRONMENTAL AND ANIMAL WELFARE ENSURING ENVIRONMENTAL SUSTAINABILITY; ECOLOGICAL BALANCE, PROTECTION OF FLORA AND FAUNA, ANIMAL WELFARE,, AGRO FORESTRY, CONSERVATION OF NATURAL RESOURCES AND MAINTAINING QUALITY OF SOIL, AIR AND WATER",,SCHEDULE VII (IV),206.57,142.93,,,"GVT,PARIVESH MPVVN LTD.",142.93,"JHARKHAND (PURVI SINGHBHUM DIST.),MADHYA PRADESH (BALAGHAT DIST.),RAJASTHAN (JHUNJHUNU DIST.)"
HINDCOPPER,HINDUSTAN COPPER LTD.,GENDER EQUALITY PROMOTING GENDER EQUALITY AND EMPOWERING WOMEN,,SCHEDULE VII (III),7.15,3.58,,,"GVT,PARIVESH",3.58,"JHARKHAND (PURVI SINGHBHUM DIST.),RAJASTHAN (JHUNJHUNU DIST.)"
HINDCOPPER,HINDUSTAN COPPER LTD.,RURAL DEVELOPMENT,,SCHEDULE VII (X),259.61,203.51,,101.755,"SHREE KRISHNA CONSTRUCTIONS,GVT,PARIVESH",101.755,"JHARKHAND (PURVI SINGHBHUM DIST.),MADHYA PRADESH (BALAGHAT DIST.),RAJASTHAN (JHUNJHUNU DIST.)"
HINDCOPPER,HINDUSTAN COPPER LTD.,"SPORTS TRAINING TO PROMOTE RURAL SPORTS , NATIONALLY RECOGNIZED SPORTS, PARALYMPIC SPORTS AND OLYMPIC SPORTS",,SCHEDULE VII (VII),7.5,4.25,,4.25,,,"JHARKHAND (PURVI SINGHBHUM DIST.),MADHYA PRADESH (BALAGHAT DIST.)"
HMVL,HINDUSTAN MEDIA VENTURES LTD.,CONTRIBUTION TOWARDS RELIEF FOR KASHMIR FLOOD VICTIMS CONTRIBUTION TO THE PRIME MINISTERS NATIONAL RELIEF FUND,,SCHEDULE VII (VIII),20.0,20.0,PRIME MINISTERS NATIONAL RELIEF FUND,20.0,,,JAMMU & KASHMIR (KASHMIR)
HMVL,HINDUSTAN MEDIA VENTURES LTD.,"PROMOTING PRIMARY EDUCATION, VOCATIONAL COURSES AND BASIC HEALTHCARE FOR CHILDREN AND WOMEN IN RURAL AREAS PROMOTING HEALTHCARE; PROMOTING EDUCATION, INCLUDING SPECIAL EDUCATION AND EMPLOYMENT ENHANCING VOCATION SKILLS, ESPECIALLY AMONG CHILDREN, WOMEN",,"SCHEDULE VII (I), SCHEDULE VII (II)",94.0,94.0,,,SHINE FOUNDATION,94.0,"DELHI (NEW DELHI),HARYANA (FARIDABAD)"
