Location,Intelligent_Class
ALAPPAD PACHAYATH,Town
ALAPPUZHA,District
ALIBAUG,Town
ALIGARH,District
ALINJIVAKKAM,Village
ALIPUR,City
ALIPURDUAR,City
ALIRAJPUR,District
ALLAHABAD,City
ALMORA,District
ALWA,Town
ALWAR,District
ALWATAKKA,Town
AMAL AGOSH BRIDGE SCHOOL,Town
AMALNER,Town
AMBADVET,Town
AMBALA,City
AMBATTUR,Town
AMBEDKAR NAGAR,District
AMBEGAON,District
AMBERNATH,Town
AMBIKAPUR,City
AMER,Town
AMETHI,District
AMINGAON,Town
AMINGAON IN KAMRUP DIST.,District
AMLAI,Town
AMMASANDRA,Village
AMONA,Village
AMRAVATI,District
AMRELI,District
AMRELI DIST.,District
AMRITSAR,City
AMROHA,District
AMTA,Town
AMTALA,City
ANAIKOIL,Village
ANAIKOIL DIST.,District
ANAMALLAIS,Town
ANAND,City
ANANDPUR DIST.,District
ANANTAPUR,City
ANANTAPUR DIST.,District
ANANTHAPURAMU,Town
ANANTNAG,District
ANDHERI EAST MUMBAI,Town
ANDHRAPETA,Village
ANEGAON,Village
ANEKAL,City
ANGUL,District
ANGUL DIST.,District
ANGUL DIST.S OF ODISHA,District
ANJAR,Town
ANKLESHWAR,Town
ANKLESHWAR DIST.,District
ANNAVARAM IN KRISHNA DIST.,District
ANOOPSHAHR,Town
ANPARA,Town
ANSEIKALA,Town
ANTERVEDIPALEM EAST GODAVARI,Town
ANTPUR HOOGHLY,Town
AP/UP:13,Town
ARAGONDA,Village
ARAKU,Town
ARANVOYAL,Town
ARAPANCH,Town
ARASUR,Village
ARI DONGARI MINES,Town
ARIYALLUR,Town
ARIYALUR,District
ARKI,District
ARVALLI,Town
ARWAL,District
ASANSOL,City
ASHAPUR,City
ASHOK NAGAR,Town
ASHTAMUDI,Town
ASHTI,District
ASSOLNA,Village
ATMURDI,Village
ATUL VALSAD,Town
AUNDH,Town
AURAIYA,District
AURANGABAD,City
AUTHUR,Village
AVADI,City
AYA NAGAR,Town
AZAMGARH,District
B.CHARIALI,Town
BABARPUR IN SHAHDARA,Town
BABRALA,Town
BADA KHET,Town
BADARPUR,Town
BADDI,District
BADLAPUR,Town
BAGADE,Village
BAGALKOTE,District
BAGAR,City
BAGHPAT,District
BAGPAT,Village
BAGUNPOTA,Town
BAHADURGARH,City
BAHIREWADI,Village
BAHRAICH,District
BAI PADMABAI THAKKAR MARG,Town
BAIGUNEY,Town
BAKLITOLA,Town
BAKSA DIST.,District
BALAGHAT,District
BALAGHAT DIST.,District
BALANGIR,District
BALARAMPUR,District
BALASORE,Town
BALASORE DIST.,District
BALDA,Village
BALESWAR,Town
BALIA,District
BALJEET NAGAR,Town
BALLIA,District
BALLUPET,Town
BALOD,District
BALODA BAZAR,District
BALRAMPUR,District
BANARAS,City
BANASKANTHA,District
BANDENALLASANDRA,Village
BANDHUP,Town
BANDIPORA,Town
BANDRA (EAST,Town
BANJARA HILLS,Town
BANKA,District
BANKAPUR,Town
BANKURA,District
BANMORE,Town
BANNERGHATTA,Town
BANNIKUPPE GRAMA PANCHAYAT RAMANAGARA DIST.,District
BANSBERIA,Town
BANSWARA,District
BARA,Town
BARABANKI,District
BARAMULLA,City
BARAN,District
BARBIL,Town
BARDHAMAN,City
BAREILLY,District
BAREJA,Town
BARGARH,District
BARI BRAHMANA,Town
BARKADA,Town
BARMANA,Village
BARMER,District
BARNALA,District
BARODA,City
BARPETA,District
BARSANA,Village
BARSUA,Town
BARWANI,District
BASANTGARH DIST.,District
BASSI,City
BASTAR,District
BASTI,District
BASTI KHARELA,Town
BATHINDA,District
BATHINDA DIST.,District
BATSAR,Town
BATTAL BALLIAN KHARORIAN,Town
BAWAL,District
BEAS,Town
BEAWAR,Town
BEAWAR RAS,Town
BECHARAJI,District
BEDPA,Town
BEED,District
BEGEPALLI,Town
BEGU SARAI,Town
BEGUSARAI,District
BEHALA,Town
BEHROR,Town
BELAGAVI,District
BELGHARIA,Town
BELLAM,Village
BELLARY,City
BEMETARA,District
BENGAL,State
BENGALURU,City
BENGALURU DIST.,District
BENGALURU RURAL,District
BENGALURU URBAN,District
BENSDA SILVASSA,Town
BERKHERA SETU,Village
BHADOHI,District
BHADRAK,District
BHADRAWATI,Town
BHADRESWAR,Town
BHAGALPUR,District
BHAGALPUR DIST.,District
BHAGWANPUR,District
BHAL,Village
BHANDARA,District
BHANDARA DIST.,District
BHANDRA,District
BHANDUP,Town
BHANUPRATAPPUR,Town
BHARAMPUR,Village
BHARATPUR,District
BHARUCH,City
BHARUCH DIST.,District
BHATAPARA,Town
BHATGAON,City
BHATINDA,City
BHAVNAGAR,City
BHAVNAGAR DIST.,District
BHAWANI MANDI,Town
BHAWANIPUR,District
BHERAI RAMPARA IN TALUKA RAJULA,Town
BHILAD DIST.,District
BHILAI,City
BHILWARA,District
BHIND,District
BHIWADI,City
BHIWANDI,City
BHIWANI,City
BHOJPUR,District
BHOOTHPUR,Village
BHOPAL,City
BHUBANESWAR,City
BHUBANESWAR DIST.,District
BHUGOAN,Town
BHUJ,City
BHUJ DIST.,District
BHURSAPARA,Town
BHUTHAGIRI ROAD,Town
BIDADI,Town
BIDAR,District
BIJAPUR,Town
BIJNOR,District
BIKANER,City
BIKANER DIST.,District
BILASPUR,District
BINA,Town
BINDRA NAVAGARH,Town
BINSAR,Village
BIRBHUM,District
BIRIKALA,Town
BIRIKALA DIST.,District
BIRIKALA G.P.,Town
BISSAU,Town
BITHOOR,Village
BITTA,City
BOGMALO,Town
BOISAR,Town
BOKARO,District
BOLANGIR,District
BOLANI,District
BOLLARAM,Town
BOLPUR,City
BONGAIGAON,City
BONGAON,District
BORAPATLA,Town
BORDI DIST.,District
BORIA,City
BORIS,Village
BORIVALI,Town
BORRAMPALEM,Village
BUDAUN,City
BUDGE BUDGE,City
BUDHNI,Town
BUJARANG,Town
BULANDSHAHR,District
BULDHANA,District
BUNDI,District
BUNDU,District
BURDWAN,City
BURMU,District
BURNPUR,Town
BUTIBORI,Village
BUXAR,District
BUZURG,City
BYCHAPURA,Village
BYCULLA,Town
CACHAR,District
CALICUT,Town
CEMBUR AREA,Town
CENTRAL DELHI,City
CHAIBASA,District
CHAKKARPUR,Town
CHAMAKPU,Town
CHAMAKPUR,Town
CHAMARAJANAGAR,District
CHAMBA,District
CHAMOLI,District
CHAMPADANGA,Village
CHAMPAI,Town
CHAMPAWAT,District
CHAMPDANI,Town
CHAMRAJ ESTATE THE NILGIRI DIST.,District
CHAMRAJNAGAR DIST.S,District
CHANDAULI,District
CHANDERIA,Town
CHANDRAPUR,District
CHANDRAPUR DIST.,District
CHANGLANG,District
CHARADAGADIA,Town
CHEMBUR,Town
CHEMBUR FOR UNDERPRIVILEGED CHILDREN OF SLUMS OF TROMBAY,Town
CHENNAI,City
CHERTHALA,Town
CHHABRA,City
CHHAPI (RURAL AREA,Town
CHHAPRA,District
CHHATARPUR,District
CHHINDWARA,District
CHHOTAUDEPUR,Town
CHICKBALLAPUR,Town
CHIKKABALLAPUR,Town
CHIKKABALLAPUR DIST.,District
CHIKKABALLAPURA,District
CHIKKAMAGALURU,District
CHIKLA,City
CHIKLA DIST.,District
CHIKMAGALUR,City
CHINCHINIM,Village
CHINCHWAD,Town
CHINDRAN,Town
CHINSDA,Town
