Location,Class,Intelligent_Class
DINDIGUL,Unclassified,District
DINDORI,Unclassified,District
DIPKA,Unclassified,Town
DOBBASPET,Unclassified,Town
DODDABALLAPUR,Unclassified,Town
DOLVI,Unclassified,Village
DOMBIVALI,Unclassified,City
DOMBIVLI,Unclassified,District
DONGARBORE,Unclassified,Town
DONGARGAON,Unclassified,City
DOONDLODH,Unclassified,Town
DORBA,Unclassified,Town
DRONAGIRI NODE,Unclassified,Town
DUDHWADA,Unclassified,Town
DULKI,Unclassified,Village
DUMKA,Unclassified,Town
DUNDIGAL,Unclassified,Village
DUNGARPUR,Unclassified,Town
DUNSANDLE,Unclassified,Town
DURG,Unclassified,District
DURGAPUR,Unclassified,City
DWARKA,Unclassified,Town
EAST,Unclassified,Town
EAST DELHI,Unclassified,City
EAST GODAVARI,Unclassified,District
EAST MIDNAPORE,Unclassified,Town
EAST SIANG,Unclassified,District
EAST SIKKIM,Unclassified,Town
EAST SINGHBHUM,Unclassified,District
EAST SINGHBUM,Unclassified,Town
EKANGAR SARAI,Unclassified,Town
EKLARI,Unclassified,City
ENNORE,Unclassified,Town
ERANHIPALAM,Unclassified,Village
ERNAKULAM,Unclassified,District
ERODE,Unclassified,District
ETAH,Unclassified,District
ETAWAH,Unclassified,District
FAIZABAD,Unclassified,City
FAKRABAD,Unclassified,Village
FARAKKA,Unclassified,District
FARIDABAD,Unclassified,City
FARRUKHABAD,Unclassified,District
FATEHGARH SAHIB,Unclassified,District
FATEHPUR,Unclassified,District
FEROZEPUR,Unclassified,Village
G.B.NAGAR,Unclassified,Town
GACHIBOWLI,Unclassified,Town
GADAG,Unclassified,District
GADCHIROLI,Unclassified,District
GADEGAON,Unclassified,City
GADHSHISA,Unclassified,Town
GADKARI KHAN,Unclassified,Town
GADKHOL,Unclassified,Town
GAILPUR,Unclassified,City
GAJAPATI,Unclassified,District
GAJRAULA,Unclassified,Town
GAJWEL,Unclassified,Town
GANDHIDHAM,Unclassified,City
GANDHIGRAM,Unclassified,Village
GANDHINAGAR,Unclassified,City
GANGAKHED,Unclassified,District
GANGANAGAR,Unclassified,City
GANGARAMPUR,Unclassified,Town
GANGTOK,Unclassified,City
GANJAM,Unclassified,District
GANPAT VIDYANAGAR,Unclassified,Town
GARDEN REACH,Unclassified,Town
GARHWA,Unclassified,District
GARIABAND,Unclassified,District
GAUTAM PURI,Unclassified,Town
GAUTAMBUDDHA NAGAR,Unclassified,Town
GAUTAMBUDHHA NAGAR,Unclassified,Town
GAYA,Unclassified,City
GHAZIABAD,Unclassified,District
GHAZIPUR,Unclassified,District
GHORAKHAL,Unclassified,Village
GIDDARBAHA,Unclassified,Town
GIDE,Unclassified,Town
GIDHALI,Unclassified,Town
GIR SOMNATH,Unclassified,District
GIRIDIH,Unclassified,District
GIRNAAR JI,Unclassified,Town
GODDA,Unclassified,District
GODHRA,Unclassified,City
